country,year,population,sex,age, gdp_for_year ($) ,HDI for year,gdp_per_capita ($),generation,suicides/100k pop,suicides_no,region_y,sub-region_y
Albania,1998,388200.0,male,35-54 years,"2,707,123,772",,899.0,Boomers,7.47,29.0,Europe,Southern Europe
Albania,1998,183800.0,male,55-74 years,"2,707,123,772",,899.0,Silent,4.9,9.0,Europe,Southern Europe
Albania,1998,275300.0,female,25-34 years,"2,707,123,772",,899.0,Generation X,3.63,10.0,Europe,Southern Europe
Albania,1998,188200.0,female,55-74 years,"2,707,123,772",,899.0,Silent,3.19,6.0,Europe,Southern Europe
Albania,1998,372100.0,female,35-54 years,"2,707,123,772",,899.0,Boomers,2.42,9.0,Europe,Southern Europe
Albania,1998,388400.0,male,5-14 years,"2,707,123,772",,899.0,Millenials,0.51,2.0,Europe,Southern Europe
Albania,1998,363800.0,female,5-14 years,"2,707,123,772",,899.0,Millenials,0.27,1.0,Europe,Southern Europe
Albania,1998,42300.0,female,75+ years,"2,707,123,772",,899.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1999,25900.0,male,75+ years,"3,414,760,915",,1127.0,G.I. Generation,11.58,3.0,Europe,Southern Europe
Albania,1999,250600.0,male,15-24 years,"3,414,760,915",,1127.0,Generation X,9.58,24.0,Europe,Southern Europe
Albania,1999,42400.0,female,75+ years,"3,414,760,915",,1127.0,G.I. Generation,9.43,4.0,Europe,Southern Europe
Albania,1999,391100.0,male,35-54 years,"3,414,760,915",,1127.0,Boomers,7.93,31.0,Europe,Southern Europe
Albania,1999,242300.0,male,25-34 years,"3,414,760,915",,1127.0,Generation X,7.84,19.0,Europe,Southern Europe
Albania,1999,185200.0,male,55-74 years,"3,414,760,915",,1127.0,Silent,7.56,14.0,Europe,Southern Europe
Albania,1999,296800.0,female,15-24 years,"3,414,760,915",,1127.0,Generation X,6.4,19.0,Europe,Southern Europe
Albania,1999,276500.0,female,25-34 years,"3,414,760,915",,1127.0,Generation X,4.7,13.0,Europe,Southern Europe
Albania,1999,188800.0,female,55-74 years,"3,414,760,915",,1127.0,Silent,3.18,6.0,Europe,Southern Europe
Albania,1999,373600.0,female,35-54 years,"3,414,760,915",,1127.0,Boomers,1.34,5.0,Europe,Southern Europe
Albania,1999,365200.0,female,5-14 years,"3,414,760,915",,1127.0,Millenials,0.27,1.0,Europe,Southern Europe
Albania,1999,391300.0,male,5-14 years,"3,414,760,915",,1127.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2000,232000.0,male,25-34 years,"3,632,043,908",0.6559999999999999,1299.0,Generation X,7.33,17.0,Europe,Southern Europe
Albania,2000,177400.0,male,55-74 years,"3,632,043,908",0.6559999999999999,1299.0,Silent,5.64,10.0,Europe,Southern Europe
Albania,2000,37800.0,female,75+ years,"3,632,043,908",0.6559999999999999,1299.0,G.I. Generation,5.29,2.0,Europe,Southern Europe
Albania,2000,24900.0,male,75+ years,"3,632,043,908",0.6559999999999999,1299.0,G.I. Generation,4.02,1.0,Europe,Southern Europe
Albania,2000,263900.0,female,15-24 years,"3,632,043,908",0.6559999999999999,1299.0,Generation X,2.27,6.0,Europe,Southern Europe
Albania,2000,240000.0,male,15-24 years,"3,632,043,908",0.6559999999999999,1299.0,Generation X,2.08,5.0,Europe,Southern Europe
Albania,2000,332200.0,female,35-54 years,"3,632,043,908",0.6559999999999999,1299.0,Boomers,1.51,5.0,Europe,Southern Europe
Albania,2000,245800.0,female,25-34 years,"3,632,043,908",0.6559999999999999,1299.0,Generation X,1.22,3.0,Europe,Southern Europe
Albania,2000,374700.0,male,35-54 years,"3,632,043,908",0.6559999999999999,1299.0,Boomers,1.07,4.0,Europe,Southern Europe
Albania,2000,374900.0,male,5-14 years,"3,632,043,908",0.6559999999999999,1299.0,Millenials,0.27,1.0,Europe,Southern Europe
Albania,2000,324700.0,female,5-14 years,"3,632,043,908",0.6559999999999999,1299.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2000,168000.0,female,55-74 years,"3,632,043,908",0.6559999999999999,1299.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2001,206484.0,male,25-34 years,"4,060,758,804",,1451.0,Generation X,10.65,22.0,Europe,Southern Europe
Albania,2001,378826.0,male,35-54 years,"4,060,758,804",,1451.0,Boomers,8.98,34.0,Europe,Southern Europe
Albania,2001,196670.0,male,55-74 years,"4,060,758,804",,1451.0,Silent,5.59,11.0,Europe,Southern Europe
Albania,2001,47254.0,female,75+ years,"4,060,758,804",,1451.0,Silent,4.23,2.0,Europe,Southern Europe
Albania,2001,256039.0,male,15-24 years,"4,060,758,804",,1451.0,Millenials,3.91,10.0,Europe,Southern Europe
Albania,2001,271359.0,female,15-24 years,"4,060,758,804",,1451.0,Millenials,3.32,9.0,Europe,Southern Europe
Albania,2001,370191.0,female,35-54 years,"4,060,758,804",,1451.0,Boomers,3.24,12.0,Europe,Southern Europe
Albania,2001,31044.0,male,75+ years,"4,060,758,804",,1451.0,Silent,3.22,1.0,Europe,Southern Europe
Albania,2001,189799.0,female,55-74 years,"4,060,758,804",,1451.0,Silent,3.16,6.0,Europe,Southern Europe
Albania,2001,321556.0,male,5-14 years,"4,060,758,804",,1451.0,Millenials,1.87,6.0,Europe,Southern Europe
Albania,2001,222771.0,female,25-34 years,"4,060,758,804",,1451.0,Generation X,1.8,4.0,Europe,Southern Europe
Albania,2001,307356.0,female,5-14 years,"4,060,758,804",,1451.0,Millenials,0.65,2.0,Europe,Southern Europe
Albania,2002,31007.0,male,75+ years,"4,435,078,648",,1573.0,Silent,12.9,4.0,Europe,Southern Europe
Albania,2002,206286.0,male,25-34 years,"4,435,078,648",,1573.0,Generation X,11.15,23.0,Europe,Southern Europe
Albania,2002,382139.0,male,35-54 years,"4,435,078,648",,1573.0,Boomers,9.16,35.0,Europe,Southern Europe
Albania,2002,198130.0,male,55-74 years,"4,435,078,648",,1573.0,Silent,6.56,13.0,Europe,Southern Europe
Albania,2002,263067.0,male,15-24 years,"4,435,078,648",,1573.0,Millenials,5.7,15.0,Europe,Southern Europe
Albania,2002,275970.0,female,15-24 years,"4,435,078,648",,1573.0,Millenials,5.07,14.0,Europe,Southern Europe
Albania,2002,375113.0,female,35-54 years,"4,435,078,648",,1573.0,Boomers,4.0,15.0,Europe,Southern Europe
Albania,2002,223685.0,female,25-34 years,"4,435,078,648",,1573.0,Generation X,3.13,7.0,Europe,Southern Europe
Albania,2002,47407.0,female,75+ years,"4,435,078,648",,1573.0,Silent,2.11,1.0,Europe,Southern Europe
Albania,2002,191712.0,female,55-74 years,"4,435,078,648",,1573.0,Silent,2.09,4.0,Europe,Southern Europe
Albania,2002,304850.0,female,5-14 years,"4,435,078,648",,1573.0,Millenials,0.33,1.0,Europe,Southern Europe
Albania,2002,319473.0,male,5-14 years,"4,435,078,648",,1573.0,Millenials,0.31,1.0,Europe,Southern Europe
Albania,2003,49088.0,female,75+ years,"5,746,945,913",,2021.0,Silent,12.22,6.0,Europe,Southern Europe
Albania,2003,201520.0,male,55-74 years,"5,746,945,913",,2021.0,Silent,7.94,16.0,Europe,Southern Europe
Albania,2003,386196.0,male,35-54 years,"5,746,945,913",,2021.0,Boomers,7.25,28.0,Europe,Southern Europe
Albania,2003,273235.0,male,15-24 years,"5,746,945,913",,2021.0,Millenials,5.49,15.0,Europe,Southern Europe
Albania,2003,283709.0,female,15-24 years,"5,746,945,913",,2021.0,Millenials,4.93,14.0,Europe,Southern Europe
Albania,2003,195699.0,female,55-74 years,"5,746,945,913",,2021.0,Silent,4.6,9.0,Europe,Southern Europe
Albania,2003,205433.0,male,25-34 years,"5,746,945,913",,2021.0,Generation X,4.38,9.0,Europe,Southern Europe
Albania,2003,222941.0,female,25-34 years,"5,746,945,913",,2021.0,Generation X,4.04,9.0,Europe,Southern Europe
Albania,2003,381760.0,female,35-54 years,"5,746,945,913",,2021.0,Boomers,3.41,13.0,Europe,Southern Europe
Albania,2003,32667.0,male,75+ years,"5,746,945,913",,2021.0,Silent,3.06,1.0,Europe,Southern Europe
Albania,2003,313204.0,male,5-14 years,"5,746,945,913",,2021.0,Millenials,1.28,4.0,Europe,Southern Europe
Albania,2003,298477.0,female,5-14 years,"5,746,945,913",,2021.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2004,35526.0,male,75+ years,"7,314,865,176",,2544.0,Silent,11.26,4.0,Europe,Southern Europe
Albania,2004,391767.0,male,35-54 years,"7,314,865,176",,2544.0,Boomers,9.95,39.0,Europe,Southern Europe
Albania,2004,203938.0,male,25-34 years,"7,314,865,176",,2544.0,Generation X,7.85,16.0,Europe,Southern Europe
Albania,2004,292268.0,female,15-24 years,"7,314,865,176",,2544.0,Millenials,6.84,20.0,Europe,Southern Europe
Albania,2004,286768.0,male,15-24 years,"7,314,865,176",,2544.0,Millenials,6.63,19.0,Europe,Southern Europe
Albania,2004,50970.0,female,75+ years,"7,314,865,176",,2544.0,Silent,5.89,3.0,Europe,Southern Europe
Albania,2004,222389.0,female,25-34 years,"7,314,865,176",,2544.0,Generation X,4.95,11.0,Europe,Southern Europe
Albania,2004,207202.0,male,55-74 years,"7,314,865,176",,2544.0,Silent,4.83,10.0,Europe,Southern Europe
Albania,2004,391436.0,female,35-54 years,"7,314,865,176",,2544.0,Boomers,4.34,17.0,Europe,Southern Europe
Albania,2004,203841.0,female,55-74 years,"7,314,865,176",,2544.0,Silent,1.47,3.0,Europe,Southern Europe
Albania,2004,286705.0,female,5-14 years,"7,314,865,176",,2544.0,Millenials,1.05,3.0,Europe,Southern Europe
Albania,2004,302181.0,male,5-14 years,"7,314,865,176",,2544.0,Millenials,0.33,1.0,Europe,Southern Europe
Albania,2005,281922.0,female,15-24 years,"8,158,548,717",0.695,2931.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2005,190745.0,female,25-34 years,"8,158,548,717",0.695,2931.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,2005,386513.0,female,35-54 years,"8,158,548,717",0.695,2931.0,Boomers,0.0,0.0,Europe,Southern Europe
Albania,2005,276559.0,female,5-14 years,"8,158,548,717",0.695,2931.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2005,210998.0,female,55-74 years,"8,158,548,717",0.695,2931.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2005,53191.0,female,75+ years,"8,158,548,717",0.695,2931.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2005,281675.0,male,15-24 years,"8,158,548,717",0.695,2931.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2005,177519.0,male,25-34 years,"8,158,548,717",0.695,2931.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,2005,380242.0,male,35-54 years,"8,158,548,717",0.695,2931.0,Boomers,0.0,0.0,Europe,Southern Europe
Albania,2005,291367.0,male,5-14 years,"8,158,548,717",0.695,2931.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2005,214118.0,male,55-74 years,"8,158,548,717",0.695,2931.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2005,38471.0,male,75+ years,"8,158,548,717",0.695,2931.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2006,283138.0,female,15-24 years,"8,992,642,349",,3235.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2006,186391.0,female,25-34 years,"8,992,642,349",,3235.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,2006,388746.0,female,35-54 years,"8,992,642,349",,3235.0,Boomers,0.0,0.0,Europe,Southern Europe
Albania,2006,267316.0,female,5-14 years,"8,992,642,349",,3235.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2006,215907.0,female,55-74 years,"8,992,642,349",,3235.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2006,56011.0,female,75+ years,"8,992,642,349",,3235.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2006,286679.0,male,15-24 years,"8,992,642,349",,3235.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2006,174092.0,male,25-34 years,"8,992,642,349",,3235.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,2006,379076.0,male,35-54 years,"8,992,642,349",,3235.0,Boomers,0.0,0.0,Europe,Southern Europe
Albania,2006,282678.0,male,5-14 years,"8,992,642,349",,3235.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,2006,219360.0,male,55-74 years,"8,992,642,349",,3235.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2006,40782.0,male,75+ years,"8,992,642,349",,3235.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,2007,42366.0,male,75+ years,"10,701,011,897",,3863.0,Silent,18.88,8.0,Europe,Southern Europe
Albania,2007,378626.0,male,35-54 years,"10,701,011,897",,3863.0,Boomers,7.66,29.0,Europe,Southern Europe
Albania,2007,224160.0,male,55-74 years,"10,701,011,897",,3863.0,Silent,6.25,14.0,Europe,Southern Europe
Albania,2007,57404.0,female,75+ years,"10,701,011,897",,3863.0,Silent,5.23,3.0,Europe,Southern Europe
Albania,2007,172494.0,male,25-34 years,"10,701,011,897",,3863.0,Generation X,5.22,9.0,Europe,Southern Europe
Albania,2007,281080.0,female,15-24 years,"10,701,011,897",,3863.0,Millenials,4.63,13.0,Europe,Southern Europe
Albania,2007,288349.0,male,15-24 years,"10,701,011,897",,3863.0,Millenials,4.51,13.0,Europe,Southern Europe
Albania,2007,183629.0,female,25-34 years,"10,701,011,897",,3863.0,Generation X,4.36,8.0,Europe,Southern Europe
Albania,2007,221120.0,female,55-74 years,"10,701,011,897",,3863.0,Silent,4.07,9.0,Europe,Southern Europe
Albania,2007,391811.0,female,35-54 years,"10,701,011,897",,3863.0,Boomers,3.57,14.0,Europe,Southern Europe
Albania,2007,272497.0,male,5-14 years,"10,701,011,897",,3863.0,Generation Z,1.47,4.0,Europe,Southern Europe
Albania,2007,256808.0,female,5-14 years,"10,701,011,897",,3863.0,Generation Z,0.0,0.0,Europe,Southern Europe
Albania,2008,172855.0,male,25-34 years,"12,881,352,688",,4672.0,Generation X,12.15,21.0,Europe,Southern Europe
Albania,2008,377119.0,male,35-54 years,"12,881,352,688",,4672.0,Boomers,9.81,37.0,Europe,Southern Europe
Albania,2008,228672.0,male,55-74 years,"12,881,352,688",,4672.0,Silent,9.18,21.0,Europe,Southern Europe
Albania,2008,59369.0,female,75+ years,"12,881,352,688",,4672.0,Silent,8.42,5.0,Europe,Southern Europe
Albania,2008,276073.0,female,15-24 years,"12,881,352,688",,4672.0,Millenials,7.24,20.0,Europe,Southern Europe
Albania,2008,182663.0,female,25-34 years,"12,881,352,688",,4672.0,Generation X,4.93,9.0,Europe,Southern Europe
