 gdp_for_year ($) ,HDI for year,age,country,gdp_per_capita ($),generation,population,sex,suicides/100k pop,suicides_no,year
"2,126,000,000",,5-14 years,Albania,769,Generation X,345000,male,0,0,1988
"2,335,124,988",,75+ years,Albania,833,G.I. Generation,22500,male,8.89,2,1989
"2,335,124,988",,25-34 years,Albania,833,Boomers,283600,male,6.35,18,1989
"2,335,124,988",,35-54 years,Albania,833,Silent,318400,male,4.71,15,1989
"2,335,124,988",,55-74 years,Albania,833,G.I. Generation,142100,male,4.22,6,1989
"2,335,124,988",,15-24 years,Albania,833,Generation X,323500,male,3.71,12,1989
"2,335,124,988",,35-54 years,Albania,833,Silent,288600,female,2.43,7,1989
"2,335,124,988",,15-24 years,Albania,833,Generation X,299900,female,1.67,5,1989
"2,335,124,988",,25-34 years,Albania,833,Boomers,266300,female,0.75,2,1989
"2,335,124,988",,55-74 years,Albania,833,G.I. Generation,149600,female,0.67,1,1989
"2,335,124,988",,5-14 years,Albania,833,Generation X,321900,female,0,0,1989
"2,335,124,988",,75+ years,Albania,833,G.I. Generation,37000,female,0,0,1989
"2,335,124,988",,5-14 years,Albania,833,Generation X,349700,male,0,0,1989
"709,452,584",,35-54 years,Albania,251,Boomers,343800,male,3.49,12,1992
"709,452,584",,15-24 years,Albania,251,Generation X,263700,male,3.41,9,1992
"709,452,584",,55-74 years,Albania,251,Silent,159500,male,3.13,5,1992
"709,452,584",,25-34 years,Albania,251,Boomers,245500,male,2.85,7,1992
"709,452,584",,15-24 years,Albania,251,Generation X,292400,female,2.39,7,1992
"709,452,584",,25-34 years,Albania,251,Boomers,267400,female,1.5,4,1992
"709,452,584",,35-54 years,Albania,251,Boomers,323100,female,0.62,2,1992
"709,452,584",,55-74 years,Albania,251,Silent,164900,female,0.61,1,1992
"709,452,584",,5-14 years,Albania,251,Millenials,336700,female,0,0,1992
"709,452,584",,75+ years,Albania,251,G.I. Generation,38700,female,0,0,1992
"709,452,584",,5-14 years,Albania,251,Millenials,362900,male,0,0,1992
"709,452,584",,75+ years,Albania,251,G.I. Generation,23900,male,0,0,1992
"1,228,071,038",,15-24 years,Albania,437,Generation X,243300,male,7.4,18,1993
"1,228,071,038",,55-74 years,Albania,437,Silent,165000,male,4.24,7,1993
"1,228,071,038",,75+ years,Albania,437,G.I. Generation,24200,male,4.13,1,1993
"1,228,071,038",,25-34 years,Albania,437,Boomers,230100,male,3.91,9,1993
"1,228,071,038",,15-24 years,Albania,437,Generation X,285300,female,3.51,10,1993
"1,228,071,038",,35-54 years,Albania,437,Boomers,350300,male,2.85,10,1993
"1,228,071,038",,25-34 years,Albania,437,Boomers,261800,female,2.67,7,1993
"1,228,071,038",,35-54 years,Albania,437,Boomers,331200,female,2.11,7,1993
"1,228,071,038",,55-74 years,Albania,437,Silent,169500,female,1.18,2,1993
"1,228,071,038",,5-14 years,Albania,437,Millenials,340300,female,0.29,1,1993
"1,228,071,038",,5-14 years,Albania,437,Millenials,367000,male,0.27,1,1993
"1,228,071,038",,75+ years,Albania,437,G.I. Generation,39300,female,0,0,1993
"1,985,673,798",,75+ years,Albania,697,G.I. Generation,24600,male,8.13,2,1994
"1,985,673,798",,55-74 years,Albania,697,Silent,171400,male,6.42,11,1994
"1,985,673,798",,75+ years,Albania,697,G.I. Generation,39900,female,5.01,2,1994
"1,985,673,798",,25-34 years,Albania,697,Boomers,231400,male,2.59,6,1994
"1,985,673,798",,35-54 years,Albania,697,Boomers,362800,male,2.48,9,1994
"1,985,673,798",,15-24 years,Albania,697,Generation X,242200,male,2.48,6,1994
"1,985,673,798",,15-24 years,Albania,697,Generation X,282600,female,2.12,6,1994
"1,985,673,798",,25-34 years,Albania,697,Boomers,261100,female,1.53,4,1994
"1,985,673,798",,35-54 years,Albania,697,Boomers,342500,female,0.58,2,1994
"1,985,673,798",,55-74 years,Albania,697,Silent,174600,female,0.57,1,1994
"1,985,673,798",,5-14 years,Albania,697,Millenials,371800,male,0.27,1,1994
"1,985,673,798",,5-14 years,Albania,697,Millenials,344400,female,0,0,1994
"2,424,499,009",0.619,25-34 years,Albania,835,Generation X,232900,male,5.58,13,1995
"2,424,499,009",0.619,55-74 years,Albania,835,Silent,178000,male,5.06,9,1995
"2,424,499,009",0.619,75+ years,Albania,835,G.I. Generation,40800,female,4.9,2,1995
"2,424,499,009",0.619,15-24 years,Albania,835,Generation X,283500,female,4.59,13,1995
"2,424,499,009",0.619,15-24 years,Albania,835,Generation X,241200,male,4.56,11,1995
"2,424,499,009",0.619,75+ years,Albania,835,G.I. Generation,25100,male,3.98,1,1995
"2,424,499,009",0.619,35-54 years,Albania,835,Boomers,375900,male,3.72,14,1995
"2,424,499,009",0.619,25-34 years,Albania,835,Generation X,264000,female,2.65,7,1995
"2,424,499,009",0.619,35-54 years,Albania,835,Boomers,356400,female,2.24,8,1995
"2,424,499,009",0.619,5-14 years,Albania,835,Millenials,376500,male,1.59,6,1995
"2,424,499,009",0.619,55-74 years,Albania,835,Silent,180400,female,1.11,2,1995
"2,424,499,009",0.619,5-14 years,Albania,835,Millenials,348700,female,0.57,2,1995
"3,314,898,292",,75+ years,Albania,1127,G.I. Generation,25400,male,7.87,2,1996
"3,314,898,292",,15-24 years,Albania,1127,Generation X,243600,male,6.98,17,1996
"3,314,898,292",,25-34 years,Albania,1127,Generation X,235300,male,5.95,14,1996
"3,314,898,292",,15-24 years,Albania,1127,Generation X,287700,female,5.56,16,1996
"3,314,898,292",,75+ years,Albania,1127,G.I. Generation,41200,female,4.85,2,1996
"3,314,898,292",,25-34 years,Albania,1127,Generation X,267900,female,3.73,10,1996
"3,314,898,292",,35-54 years,Albania,1127,Boomers,379600,male,3.16,12,1996
"3,314,898,292",,35-54 years,Albania,1127,Boomers,362000,female,2.49,9,1996
"3,314,898,292",,55-74 years,Albania,1127,Silent,179900,male,1.67,3,1996
"3,314,898,292",,55-74 years,Albania,1127,Silent,183100,female,0.55,1,1996
"3,314,898,292",,5-14 years,Albania,1127,Millenials,380400,male,0.53,2,1996
"3,314,898,292",,5-14 years,Albania,1127,Millenials,354100,female,0.28,1,1996
"2,359,903,108",,25-34 years,Albania,793,Generation X,236000,male,15.25,36,1997
"2,359,903,108",,15-24 years,Albania,793,Generation X,244400,male,13.5,33,1997
"2,359,903,108",,75+ years,Albania,793,G.I. Generation,25400,male,11.81,3,1997
"2,359,903,108",,35-54 years,Albania,793,Boomers,380800,male,7.88,30,1997
"2,359,903,108",,15-24 years,Albania,793,Generation X,294000,female,7.14,21,1997
"2,359,903,108",,55-74 years,Albania,793,Silent,180300,male,6.66,12,1997
"2,359,903,108",,25-34 years,Albania,793,Generation X,273900,female,5.84,16,1997
"2,359,903,108",,75+ years,Albania,793,G.I. Generation,42100,female,4.75,2,1997
"2,359,903,108",,35-54 years,Albania,793,Boomers,370100,female,1.89,7,1997
"2,359,903,108",,5-14 years,Albania,793,Millenials,361800,female,1.66,6,1997
"2,359,903,108",,5-14 years,Albania,793,Millenials,381500,male,1.05,4,1997
"2,359,903,108",,55-74 years,Albania,793,Silent,187000,female,0,0,1997
"2,707,123,772",,75+ years,Albania,899,G.I. Generation,25800,male,11.63,3,1998
"2,707,123,772",,15-24 years,Albania,899,Generation X,248800,male,10.85,27,1998
"2,707,123,772",,15-24 years,Albania,899,Generation X,295600,female,10.83,32,1998
"2,707,123,772",,25-34 years,Albania,899,Generation X,240400,male,10.82,26,1998
"2,707,123,772",,35-54 years,Albania,899,Boomers,388200,male,7.47,29,1998
"2,707,123,772",,55-74 years,Albania,899,Silent,183800,male,4.9,9,1998
"2,707,123,772",,25-34 years,Albania,899,Generation X,275300,female,3.63,10,1998
"2,707,123,772",,55-74 years,Albania,899,Silent,188200,female,3.19,6,1998
"2,707,123,772",,35-54 years,Albania,899,Boomers,372100,female,2.42,9,1998
"2,707,123,772",,5-14 years,Albania,899,Millenials,388400,male,0.51,2,1998
"2,707,123,772",,5-14 years,Albania,899,Millenials,363800,female,0.27,1,1998
"2,707,123,772",,75+ years,Albania,899,G.I. Generation,42300,female,0,0,1998
"3,414,760,915",,75+ years,Albania,1127,G.I. Generation,25900,male,11.58,3,1999
"3,414,760,915",,15-24 years,Albania,1127,Generation X,250600,male,9.58,24,1999
"3,414,760,915",,75+ years,Albania,1127,G.I. Generation,42400,female,9.43,4,1999
"3,414,760,915",,35-54 years,Albania,1127,Boomers,391100,male,7.93,31,1999
"3,414,760,915",,25-34 years,Albania,1127,Generation X,242300,male,7.84,19,1999
"3,414,760,915",,55-74 years,Albania,1127,Silent,185200,male,7.56,14,1999
"3,414,760,915",,15-24 years,Albania,1127,Generation X,296800,female,6.4,19,1999
"3,414,760,915",,25-34 years,Albania,1127,Generation X,276500,female,4.7,13,1999
"3,414,760,915",,55-74 years,Albania,1127,Silent,188800,female,3.18,6,1999
"3,414,760,915",,35-54 years,Albania,1127,Boomers,373600,female,1.34,5,1999
"3,414,760,915",,5-14 years,Albania,1127,Millenials,365200,female,0.27,1,1999
"3,414,760,915",,5-14 years,Albania,1127,Millenials,391300,male,0,0,1999
"3,632,043,908",0.656,25-34 years,Albania,1299,Generation X,232000,male,7.33,17,2000
"3,632,043,908",0.656,55-74 years,Albania,1299,Silent,177400,male,5.64,10,2000
"3,632,043,908",0.656,75+ years,Albania,1299,G.I. Generation,37800,female,5.29,2,2000
"3,632,043,908",0.656,75+ years,Albania,1299,G.I. Generation,24900,male,4.02,1,2000
"3,632,043,908",0.656,15-24 years,Albania,1299,Generation X,263900,female,2.27,6,2000
"3,632,043,908",0.656,15-24 years,Albania,1299,Generation X,240000,male,2.08,5,2000
"3,632,043,908",0.656,35-54 years,Albania,1299,Boomers,332200,female,1.51,5,2000
"3,632,043,908",0.656,25-34 years,Albania,1299,Generation X,245800,female,1.22,3,2000
"3,632,043,908",0.656,35-54 years,Albania,1299,Boomers,374700,male,1.07,4,2000
"3,632,043,908",0.656,5-14 years,Albania,1299,Millenials,374900,male,0.27,1,2000
"3,632,043,908",0.656,5-14 years,Albania,1299,Millenials,324700,female,0,0,2000
"3,632,043,908",0.656,55-74 years,Albania,1299,Silent,168000,female,0,0,2000
"4,060,758,804",,25-34 years,Albania,1451,Generation X,206484,male,10.65,22,2001
"4,060,758,804",,35-54 years,Albania,1451,Boomers,378826,male,8.98,34,2001
"4,060,758,804",,55-74 years,Albania,1451,Silent,196670,male,5.59,11,2001
"4,060,758,804",,75+ years,Albania,1451,Silent,47254,female,4.23,2,2001
"4,060,758,804",,15-24 years,Albania,1451,Millenials,256039,male,3.91,10,2001
"4,060,758,804",,15-24 years,Albania,1451,Millenials,271359,female,3.32,9,2001
"4,060,758,804",,35-54 years,Albania,1451,Boomers,370191,female,3.24,12,2001
"4,060,758,804",,75+ years,Albania,1451,Silent,31044,male,3.22,1,2001
"4,060,758,804",,55-74 years,Albania,1451,Silent,189799,female,3.16,6,2001
"4,060,758,804",,5-14 years,Albania,1451,Millenials,321556,male,1.87,6,2001
"4,060,758,804",,25-34 years,Albania,1451,Generation X,222771,female,1.8,4,2001
"4,060,758,804",,5-14 years,Albania,1451,Millenials,307356,female,0.65,2,2001
"4,435,078,648",,75+ years,Albania,1573,Silent,31007,male,12.9,4,2002
"4,435,078,648",,25-34 years,Albania,1573,Generation X,206286,male,11.15,23,2002
"4,435,078,648",,35-54 years,Albania,1573,Boomers,382139,male,9.16,35,2002
"4,435,078,648",,55-74 years,Albania,1573,Silent,198130,male,6.56,13,2002
"4,435,078,648",,15-24 years,Albania,1573,Millenials,263067,male,5.7,15,2002
"4,435,078,648",,15-24 years,Albania,1573,Millenials,275970,female,5.07,14,2002
"4,435,078,648",,35-54 years,Albania,1573,Boomers,375113,female,4,15,2002
"4,435,078,648",,25-34 years,Albania,1573,Generation X,223685,female,3.13,7,2002
"4,435,078,648",,75+ years,Albania,1573,Silent,47407,female,2.11,1,2002
"4,435,078,648",,55-74 years,Albania,1573,Silent,191712,female,2.09,4,2002
"4,435,078,648",,5-14 years,Albania,1573,Millenials,304850,female,0.33,1,2002
"4,435,078,648",,5-14 years,Albania,1573,Millenials,319473,male,0.31,1,2002
"5,746,945,913",,75+ years,Albania,2021,Silent,49088,female,12.22,6,2003
"5,746,945,913",,55-74 years,Albania,2021,Silent,201520,male,7.94,16,2003
"5,746,945,913",,35-54 years,Albania,2021,Boomers,386196,male,7.25,28,2003
"5,746,945,913",,15-24 years,Albania,2021,Millenials,273235,male,5.49,15,2003
"5,746,945,913",,15-24 years,Albania,2021,Millenials,283709,female,4.93,14,2003
"5,746,945,913",,55-74 years,Albania,2021,Silent,195699,female,4.6,9,2003
"5,746,945,913",,25-34 years,Albania,2021,Generation X,205433,male,4.38,9,2003
"5,746,945,913",,25-34 years,Albania,2021,Generation X,222941,female,4.04,9,2003
"5,746,945,913",,35-54 years,Albania,2021,Boomers,381760,female,3.41,13,2003
"5,746,945,913",,75+ years,Albania,2021,Silent,32667,male,3.06,1,2003
"5,746,945,913",,5-14 years,Albania,2021,Millenials,313204,male,1.28,4,2003
"5,746,945,913",,5-14 years,Albania,2021,Millenials,298477,female,0,0,2003
"7,314,865,176",,75+ years,Albania,2544,Silent,35526,male,11.26,4,2004
"7,314,865,176",,35-54 years,Albania,2544,Boomers,391767,male,9.95,39,2004
"7,314,865,176",,25-34 years,Albania,2544,Generation X,203938,male,7.85,16,2004
"7,314,865,176",,15-24 years,Albania,2544,Millenials,292268,female,6.84,20,2004
"7,314,865,176",,15-24 years,Albania,2544,Millenials,286768,male,6.63,19,2004
"7,314,865,176",,75+ years,Albania,2544,Silent,50970,female,5.89,3,2004
"7,314,865,176",,25-34 years,Albania,2544,Generation X,222389,female,4.95,11,2004
"7,314,865,176",,55-74 years,Albania,2544,Silent,207202,male,4.83,10,2004
"7,314,865,176",,35-54 years,Albania,2544,Boomers,391436,female,4.34,17,2004
"7,314,865,176",,55-74 years,Albania,2544,Silent,203841,female,1.47,3,2004
"7,314,865,176",,5-14 years,Albania,2544,Millenials,286705,female,1.05,3,2004
"7,314,865,176",,5-14 years,Albania,2544,Millenials,302181,male,0.33,1,2004
"8,158,548,717",0.695,15-24 years,Albania,2931,Millenials,281922,female,0,0,2005
"8,158,548,717",0.695,25-34 years,Albania,2931,Generation X,190745,female,0,0,2005
"8,158,548,717",0.695,35-54 years,Albania,2931,Boomers,386513,female,0,0,2005
"8,158,548,717",0.695,5-14 years,Albania,2931,Millenials,276559,female,0,0,2005
"8,158,548,717",0.695,55-74 years,Albania,2931,Silent,210998,female,0,0,2005
"8,158,548,717",0.695,75+ years,Albania,2931,Silent,53191,female,0,0,2005
"8,158,548,717",0.695,15-24 years,Albania,2931,Millenials,281675,male,0,0,2005
"8,158,548,717",0.695,25-34 years,Albania,2931,Generation X,177519,male,0,0,2005
"8,158,548,717",0.695,35-54 years,Albania,2931,Boomers,380242,male,0,0,2005
"8,158,548,717",0.695,5-14 years,Albania,2931,Millenials,291367,male,0,0,2005
"8,158,548,717",0.695,55-74 years,Albania,2931,Silent,214118,male,0,0,2005
"8,158,548,717",0.695,75+ years,Albania,2931,Silent,38471,male,0,0,2005
"8,992,642,349",,15-24 years,Albania,3235,Millenials,283138,female,0,0,2006
"8,992,642,349",,25-34 years,Albania,3235,Generation X,186391,female,0,0,2006
"8,992,642,349",,35-54 years,Albania,3235,Boomers,388746,female,0,0,2006
"8,992,642,349",,5-14 years,Albania,3235,Millenials,267316,female,0,0,2006
"8,992,642,349",,55-74 years,Albania,3235,Silent,215907,female,0,0,2006
"8,992,642,349",,75+ years,Albania,3235,Silent,56011,female,0,0,2006
"8,992,642,349",,15-24 years,Albania,3235,Millenials,286679,male,0,0,2006
"8,992,642,349",,25-34 years,Albania,3235,Generation X,174092,male,0,0,2006
"8,992,642,349",,35-54 years,Albania,3235,Boomers,379076,male,0,0,2006
"8,992,642,349",,5-14 years,Albania,3235,Millenials,282678,male,0,0,2006
"8,992,642,349",,55-74 years,Albania,3235,Silent,219360,male,0,0,2006
"8,992,642,349",,75+ years,Albania,3235,Silent,40782,male,0,0,2006
"10,701,011,897",,75+ years,Albania,3863,Silent,42366,male,18.88,8,2007
"10,701,011,897",,35-54 years,Albania,3863,Boomers,378626,male,7.66,29,2007
"10,701,011,897",,55-74 years,Albania,3863,Silent,224160,male,6.25,14,2007
"10,701,011,897",,75+ years,Albania,3863,Silent,57404,female,5.23,3,2007
"10,701,011,897",,25-34 years,Albania,3863,Generation X,172494,male,5.22,9,2007
"10,701,011,897",,15-24 years,Albania,3863,Millenials,281080,female,4.63,13,2007
"10,701,011,897",,15-24 years,Albania,3863,Millenials,288349,male,4.51,13,2007
"10,701,011,897",,25-34 years,Albania,3863,Generation X,183629,female,4.36,8,2007
"10,701,011,897",,55-74 years,Albania,3863,Silent,221120,female,4.07,9,2007
"10,701,011,897",,35-54 years,Albania,3863,Boomers,391811,female,3.57,14,2007
"10,701,011,897",,5-14 years,Albania,3863,Generation Z,272497,male,1.47,4,2007
"10,701,011,897",,5-14 years,Albania,3863,Generation Z,256808,female,0,0,2007
"12,881,352,688",,25-34 years,Albania,4672,Generation X,172855,male,12.15,21,2008
"12,881,352,688",,35-54 years,Albania,4672,Boomers,377119,male,9.81,37,2008
"12,881,352,688",,55-74 years,Albania,4672,Silent,228672,male,9.18,21,2008
"12,881,352,688",,75+ years,Albania,4672,Silent,59369,female,8.42,5,2008
"12,881,352,688",,15-24 years,Albania,4672,Millenials,276073,female,7.24,20,2008
"12,881,352,688",,25-34 years,Albania,4672,Generation X,182663,female,4.93,9,2008
"12,881,352,688",,35-54 years,Albania,4672,Boomers,393832,female,4.82,19,2008
"12,881,352,688",,75+ years,Albania,4672,Silent,44574,male,4.49,2,2008
"12,881,352,688",,15-24 years,Albania,4672,Millenials,286702,male,3.84,11,2008
"12,881,352,688",,55-74 years,Albania,4672,Silent,226448,female,3.09,7,2008
"12,881,352,688",,5-14 years,Albania,4672,Generation Z,262464,male,2.67,7,2008
"12,881,352,688",,5-14 years,Albania,4672,Generation Z,246288,female,0.41,1,2008
"12,044,212,904",,15-24 years,Albania,4387,Millenials,270003,female,0,0,2009
"12,044,212,904",,25-34 years,Albania,4387,Generation X,182712,female,0,0,2009
"12,044,212,904",,35-54 years,Albania,4387,Boomers,394286,female,0,0,2009
"12,044,212,904",,5-14 years,Albania,4387,Generation Z,236174,female,0,0,2009
"12,044,212,904",,55-74 years,Albania,4387,Silent,233302,female,0,0,2009
"12,044,212,904",,75+ years,Albania,4387,Silent,61582,female,0,0,2009
"12,044,212,904",,15-24 years,Albania,4387,Millenials,283448,male,0,0,2009
"12,044,212,904",,25-34 years,Albania,4387,Generation X,174955,male,0,0,2009
"12,044,212,904",,35-54 years,Albania,4387,Boomers,374365,male,0,0,2009
"12,044,212,904",,5-14 years,Albania,4387,Generation Z,253007,male,0,0,2009
"12,044,212,904",,55-74 years,Albania,4387,Silent,234570,male,0,0,2009
"12,044,212,904",,75+ years,Albania,4387,Silent,47331,male,0,0,2009
"11,926,953,259",0.722,55-74 years,Albania,4359,Silent,241852,male,8.27,20,2010
"11,926,953,259",0.722,35-54 years,Albania,4359,Generation X,371611,male,5.38,20,2010
"11,926,953,259",0.722,25-34 years,Albania,4359,Generation X,179720,male,5.01,9,2010
"11,926,953,259",0.722,75+ years,Albania,4359,Silent,50767,male,3.94,2,2010
"11,926,953,259",0.722,15-24 years,Albania,4359,Millenials,279508,male,3.58,10,2010
"11,926,953,259",0.722,25-34 years,Albania,4359,Generation X,183579,female,3.27,6,2010
"11,926,953,259",0.722,75+ years,Albania,4359,Silent,64415,female,3.1,2,2010
"11,926,953,259",0.722,35-54 years,Albania,4359,Generation X,394593,female,3.04,12,2010
"11,926,953,259",0.722,55-74 years,Albania,4359,Silent,241491,female,2.9,7,2010
"11,926,953,259",0.722,15-24 years,Albania,4359,Millenials,263581,female,2.28,6,2010
"11,926,953,259",0.722,5-14 years,Albania,4359,Generation Z,223969,female,0.89,2,2010
"11,926,953,259",0.722,5-14 years,Albania,4359,Generation Z,240939,male,0,0,2010
"240,923,926",,15-24 years,Antigua and Barbuda,3850,Generation X,7709,female,0,0,1985
"240,923,926",,25-34 years,Antigua and Barbuda,3850,Boomers,6344,female,0,0,1985
"240,923,926",,35-54 years,Antigua and Barbuda,3850,Silent,6173,female,0,0,1985
"240,923,926",,5-14 years,Antigua and Barbuda,3850,Generation X,7339,female,0,0,1985
"240,923,926",,55-74 years,Antigua and Barbuda,3850,G.I. Generation,3778,female,0,0,1985
"240,923,926",,75+ years,Antigua and Barbuda,3850,G.I. Generation,949,female,0,0,1985
"240,923,926",,15-24 years,Antigua and Barbuda,3850,Generation X,7667,male,0,0,1985
"240,923,926",,25-34 years,Antigua and Barbuda,3850,Boomers,6194,male,0,0,1985
"240,923,926",,35-54 years,Antigua and Barbuda,3850,Silent,5970,male,0,0,1985
"240,923,926",,5-14 years,Antigua and Barbuda,3850,Generation X,7304,male,0,0,1985
"240,923,926",,55-74 years,Antigua and Barbuda,3850,G.I. Generation,2723,male,0,0,1985
"240,923,926",,75+ years,Antigua and Barbuda,3850,G.I. Generation,424,male,0,0,1985
"290,440,148",,15-24 years,Antigua and Barbuda,4740,Generation X,7668,female,0,0,1986
"290,440,148",,25-34 years,Antigua and Barbuda,4740,Boomers,6209,female,0,0,1986
"290,440,148",,35-54 years,Antigua and Barbuda,4740,Silent,6101,female,0,0,1986
"290,440,148",,5-14 years,Antigua and Barbuda,4740,Generation X,6907,female,0,0,1986
"290,440,148",,55-74 years,Antigua and Barbuda,4740,G.I. Generation,3764,female,0,0,1986
"290,440,148",,75+ years,Antigua and Barbuda,4740,G.I. Generation,1014,female,0,0,1986
"290,440,148",,15-24 years,Antigua and Barbuda,4740,Generation X,7563,male,0,0,1986
"290,440,148",,25-34 years,Antigua and Barbuda,4740,Boomers,6023,male,0,0,1986
"290,440,148",,35-54 years,Antigua and Barbuda,4740,Silent,5947,male,0,0,1986
"290,440,148",,5-14 years,Antigua and Barbuda,4740,Generation X,6827,male,0,0,1986
"290,440,148",,55-74 years,Antigua and Barbuda,4740,G.I. Generation,2771,male,0,0,1986
"290,440,148",,75+ years,Antigua and Barbuda,4740,G.I. Generation,476,male,0,0,1986
"337,174,852",,15-24 years,Antigua and Barbuda,5595,Generation X,7583,female,0,0,1987
"337,174,852",,25-34 years,Antigua and Barbuda,5595,Boomers,6101,female,0,0,1987
"337,174,852",,35-54 years,Antigua and Barbuda,5595,Silent,6059,female,0,0,1987
"337,174,852",,5-14 years,Antigua and Barbuda,5595,Generation X,6623,female,0,0,1987
"337,174,852",,55-74 years,Antigua and Barbuda,5595,G.I. Generation,3738,female,0,0,1987
"337,174,852",,75+ years,Antigua and Barbuda,5595,G.I. Generation,1081,female,0,0,1987
"337,174,852",,15-24 years,Antigua and Barbuda,5595,Generation X,7421,male,0,0,1987
"337,174,852",,25-34 years,Antigua and Barbuda,5595,Boomers,5893,male,0,0,1987
"337,174,852",,35-54 years,Antigua and Barbuda,5595,Silent,5927,male,0,0,1987
"337,174,852",,5-14 years,Antigua and Barbuda,5595,Generation X,6499,male,0,0,1987
"337,174,852",,55-74 years,Antigua and Barbuda,5595,G.I. Generation,2798,male,0,0,1987
"337,174,852",,75+ years,Antigua and Barbuda,5595,G.I. Generation,538,male,0,0,1987
"398,637,741",,15-24 years,Antigua and Barbuda,6693,Generation X,7413,female,0,0,1988
"398,637,741",,25-34 years,Antigua and Barbuda,6693,Boomers,6041,female,0,0,1988
"398,637,741",,35-54 years,Antigua and Barbuda,6693,Silent,6021,female,0,0,1988
"398,637,741",,5-14 years,Antigua and Barbuda,6693,Generation X,6527,female,0,0,1988
"398,637,741",,55-74 years,Antigua and Barbuda,6693,G.I. Generation,3708,female,0,0,1988
"398,637,741",,75+ years,Antigua and Barbuda,6693,G.I. Generation,1141,female,0,0,1988
"398,637,741",,15-24 years,Antigua and Barbuda,6693,Generation X,7209,male,0,0,1988
"398,637,741",,25-34 years,Antigua and Barbuda,6693,Boomers,5826,male,0,0,1988
"398,637,741",,35-54 years,Antigua and Barbuda,6693,Silent,5907,male,0,0,1988
"398,637,741",,5-14 years,Antigua and Barbuda,6693,Generation X,6355,male,0,0,1988
"398,637,741",,55-74 years,Antigua and Barbuda,6693,G.I. Generation,2813,male,0,0,1988
"398,637,741",,75+ years,Antigua and Barbuda,6693,G.I. Generation,603,male,0,0,1988
"438,794,778",,15-24 years,Antigua and Barbuda,7407,Generation X,7152,female,0,0,1989
"438,794,778",,25-34 years,Antigua and Barbuda,7407,Boomers,6059,female,0,0,1989
"438,794,778",,35-54 years,Antigua and Barbuda,7407,Silent,5969,female,0,0,1989
"438,794,778",,5-14 years,Antigua and Barbuda,7407,Generation X,6621,female,0,0,1989
"438,794,778",,55-74 years,Antigua and Barbuda,7407,G.I. Generation,3696,female,0,0,1989
"438,794,778",,75+ years,Antigua and Barbuda,7407,G.I. Generation,1195,female,0,0,1989
"438,794,778",,15-24 years,Antigua and Barbuda,7407,Generation X,6927,male,0,0,1989
"438,794,778",,25-34 years,Antigua and Barbuda,7407,Boomers,5835,male,0,0,1989
"438,794,778",,35-54 years,Antigua and Barbuda,7407,Silent,5862,male,0,0,1989
"438,794,778",,5-14 years,Antigua and Barbuda,7407,Generation X,6403,male,0,0,1989
"438,794,778",,55-74 years,Antigua and Barbuda,7407,G.I. Generation,2843,male,0,0,1989
"438,794,778",,75+ years,Antigua and Barbuda,7407,G.I. Generation,676,male,0,0,1989
"459,469,074",,35-54 years,Antigua and Barbuda,7744,Silent,5799,male,17.24,1,1990
"459,469,074",,15-24 years,Antigua and Barbuda,7744,Generation X,6827,female,0,0,1990
"459,469,074",,25-34 years,Antigua and Barbuda,7744,Boomers,6172,female,0,0,1990
